YEAR,WEEK,% WEIGHTED ILI,REGIONAL ILI BASELINE,Precip,Temp,Temp_off
2008,52,3.212482765,1.5,10.39547597,-20.45467361,17.41275048
2008,53,3.577285033,1.5,9.097626504,-26.69779664,14.61475083
2009,1,3.948873009,1.5,18.63127601,-21.43131335,22.72532931
2009,2,4.312122164,1.5,15.22611312,-28.20345448,18.15487837
2009,3,4.649030227,1.5,26.2839209,-19.44623337,28.43935378
2009,4,4.940213845,1.5,23.2911367,-23.57520537,25.14098118
2009,5,5.167049645,1.5,33.13592002,-13.67927724,35.15877002
2009,6,5.314117911,1.5,14.87502336,-30.75471083,17.49468556
2009,7,5.371424126,1.5,24.40107845,-19.03265042,27.9261474
2009,8,5.335847832,1.5,13.22092048,-27.18999946,17.79502813
2009,9,5.211446276,1.5,5.698356685,-31.09115741,11.26564335
2009,10,5.008566239,1.5,12.97163098,-19.85167353,19.26068007
2009,11,4.742053281,1.5,0.309586549,-28.46140485,6.837482519
2009,12,4.4290527,1.5,0.036792494,-24.83864792,6.133233695
2009,13,4.086908108,1.5,0.132730733,-21.21188394,4.982403043
2009,14,3.731518604,1.5,4.115649782,-14.2201204,6.815489062
2009,15,3.376308517,1.5,-1.831148127,-17.77537192,-2.204472772
2009,16,3.031783902,1.5,9.485923243,-4.711689517,5.167968884
2009,17,2.705543079,1.5,-0.212937075,-13.26903416,-9.224348949
2009,18,2.402575901,1.5,9.160079361,-3.258371343,-5.107502696
2009,19,2.125704103,1.5,11.503134,-0.630353283,-8.346399446
2009,20,1.876055214,1.5,8.356621901,-3.659191838,-17.1298973
2009,21,1.653504679,1.5,14.38203672,2.517499338,-16.51188927
2009,22,1.457054546,1.5,15.78627482,4.30297264,-20.00825347
2009,23,1.285139599,1.5,25.89367985,15.19376272,-14.04561338
2009,24,1.135864579,1.5,30.22259398,20.83871947,-12.90342279
2009,25,1.007181868,1.5,17.78639562,10.32616072,-27.4278562
2009,26,0.897020558,1.5,27.34741874,22.42875402,-18.78788
2009,27,0.80337717,1.5,21.20262533,19.38580204,-24.69381627
2009,28,0.724376879,1.5,9.9044526,11.62667574,-34.67464244
2009,29,0.658312434,1.5,13.55213434,19.07050952,-28.7789021
2009,30,0.603666636,1.5,16.86273517,26.21071924,-22.49065723
